	parent	child	lambda_val	child_size
467	643	312	11.108713456581281	1
468	634	569	9.405823429117236	1
469	633	424	5.8146523346620445	1
470	641	487	8.571302491938281	1
471	644	474	3.8066581547522382	1
472	645	489	5.991631072466334	1
473	638	422	2.732411543642367	1
474	642	50	4.827885917386163	1
475	643	588	13.045960574743685	1
476	643	51	13.045960574743685	1
477	643	12	13.045960574743685	1
478	643	479	13.045960574743685	1
479	634	367	9.985168563798199	1
480	633	275	5.839823974670843	1
481	641	505	9.256164183337836	1
482	644	414	4.009156411078231	1
483	645	409	6.200629064870235	1
484	638	486	2.733122930135696	1
485	642	481	4.893060795391582	1
486	634	320	10.688368746585237	1
487	634	461	10.688368746585237	1
488	634	568	10.688368746585237	1
489	634	204	10.688368746585237	1
490	633	222	5.868911877296454	1
491	641	108	9.275719859204985	1
492	644	260	4.089244480208137	1
493	645	570	6.4911530576663	1
494	638	537	2.7534829021858602	1
495	642	398	4.9573406537232625	1
496	633	72	5.887390025013212	1
497	641	416	9.275719859204985	1
498	644	478	4.2526293235141575	1
499	645	147	6.772897584036723	1
500	638	579	2.7798201598988075	1
501	642	181	5.158207101090188	1
502	633	217	6.048380102688057	1
503	641	67	9.353455591237172	1
504	641	278	9.353455591237172	1
505	641	225	9.353455591237172	1
506	641	250	9.353455591237172	1
507	644	11	4.443223864428601	1
508	645	576	7.118496478687332	1
509	638	90	2.804088240959355	1
510	642	244	5.520850314583434	1
511	633	438	6.1413804098683205	1
512	644	207	4.71342833240123	1
513	645	115	7.526057836645118	1
514	638	497	2.8632497655748876	1
515	642	4	5.6111465716101865	1
516	633	547	6.15577962214879	1
517	644	223	4.989131857554289	1
518	645	287	7.926085304883157	1
519	645	413	7.926085304883157	1
520	645	124	7.926085304883157	1
521	645	276	7.926085304883157	1
522	638	283	2.8907436572324983	1
523	642	188	5.667066700551356	1
524	633	566	6.1847862491974	1
525	644	455	5.150165030583171	1
526	638	98	2.903867160013029	1
527	642	249	5.779949773580294	1
528	633	504	6.2769811260463975	1
529	644	290	5.20627262737658	1
530	638	106	2.911022074487232	1
531	642	112	5.927273006798461	1
532	633	512	6.634629430991855	1
533	644	60	5.220339022135118	1
534	638	48	3.0687485199741986	1
535	642	149	5.931478888755386	1
536	633	535	6.710151078289956	1
537	644	562	5.220339022135118	1
538	638	584	3.097827100315453	1
539	638	79	3.097827100315453	1
540	642	175	5.937086048599438	1
541	633	162	6.7494615291518745	1
542	644	41	6.072736252130269	1
543	638	646	3.2522854002124855	14
544	638	647	3.2522854002124855	42
545	642	415	5.950641153789045	1
546	633	316	6.7494615291518745	1
547	633	88	6.7494615291518745	1
548	644	70	8.661433023082022	1
549	646	542	3.2522854002124855	1
550	647	233	3.2726847860145774	1
551	642	168	6.0044089251661585	1
552	633	193	6.909366314683158	1
553	644	484	8.818735134205479	1
554	646	541	3.3372265242286567	1
555	647	293	3.437115259634177	1
